position_id,symbol,type,condition,direction,short_a_long_b,open_time,close_time,open_price_a,open_price_b,close_price_a,close_price_b,open_funding_a,open_funding_b,open_spread_pct,close_spread_pct,position_size,close_reason,realized_pnl,accumulated_funding_pnl,funding_settlement_count,holding_hours
BTCUSDT_funding_rate_20260511_013000,BTCUSDT,funding_rate,condition_b,different,False,2026-05-11 01:30:00,2026-05-11 08:00:00,81463.2,81463.5,80602.3,80606.3,5.798e-05,-0.00012,0.0003682644433350401,0.004962637542601142,0.01227548144438225,funding_converge,-0.8412026534680337,0.0,0,6.5
BTCUSDT_price_spread_20260511_143000,BTCUSDT,price_spread,condition_a,same,True,2026-05-11 14:30:00,2026-05-11 15:00:00,80917.5,80906.0,81302.0,81300.6,2.592e-05,2e-06,0.014214026153808122,0.0017220045116446607,0.012357226554634698,price_profit,-0.6769933753854318,0.0,0,0.5
BTCUSDT_price_spread_20260511_173000,BTCUSDT,price_spread,condition_b,different,False,2026-05-11 17:30:00,2026-05-11 18:00:00,81894.0,81902.5,81995.2,82000.0,4.555e-05,-1e-06,0.010379270764646982,0.0058540012098304665,0.012209052926919123,price_profit,-0.7552317470313937,0.0,0,0.5
BTCUSDT_funding_rate_20260512_073000,BTCUSDT,funding_rate,condition_b,different,False,2026-05-12 07:30:00,2026-05-12 16:00:00,80809.2,80816.1,80250.0,80242.6,4.555e-05,-0.000128,0.008538631739961207,0.009222034181337817,0.012372015280715706,funding_converge,-0.6866645680222919,-0.06653487033815149,1,8.5
BTCUSDT_price_spread_20260512_173000,BTCUSDT,price_spread,condition_a,same,True,2026-05-12 17:30:00,2026-05-12 18:00:00,80492.9,80483.3,80470.7,80463.9,5.822e-05,1.1e-05,0.011927940330467648,0.008450994793942266,0.012419778524138272,price_profit,-0.7648367882381915,0.0,0,0.5
BTCUSDT_price_spread_20260512_183000,BTCUSDT,price_spread,condition_a,same,True,2026-05-12 18:30:00,2026-05-12 19:00:00,80641.2,80627.9,80667.9,80668.8,5.822e-05,1.1e-05,0.016495530703395364,0.001115685421349423,0.012395989978903905,price_profit,-0.6237805950866757,0.0,0,0.5
BTCUSDT_price_spread_20260512_203000,BTCUSDT,price_spread,condition_a,same,True,2026-05-12 20:30:00,2026-05-12 21:00:00,80656.8,80646.8,80620.8,80616.9,5.822e-05,1.1e-05,0.012399748037119886,0.004837695321959454,0.0123928190682903,price_profit,-0.7238429982737659,0.0,0,0.5
BTCUSDT_price_spread_20260513_000000,BTCUSDT,price_spread,condition_a,same,True,2026-05-13 00:00:00,2026-05-13 00:30:00,80617.5,80606.1,80673.4,80664.8,5.822e-05,1.8e-05,0.014142850230930634,0.010661403734951638,0.012397962535770145,price_profit,-0.7651075272739242,0.0,0,0.5
BTCUSDT_price_spread_20260513_003000,BTCUSDT,price_spread,condition_a,same,True,2026-05-13 00:30:00,2026-05-13 01:00:00,80673.4,80664.8,81020.1,81015.5,5.822e-05,1.8e-05,0.010661403734951638,0.005677925829015214,0.012388423370958983,price_profit,-0.7516646148115074,0.0,0,0.5
BTCUSDT_price_spread_20260513_053000,BTCUSDT,price_spread,condition_b,different,False,2026-05-13 05:30:00,2026-05-13 06:00:00,80985.5,80994.4,81070.1,81072.4,5.822e-05,1.8e-05,0.010989621598921015,0.002837050897912249,0.012339753011505037,price_profit,-0.7184757024232429,0.0,0,0.5
BTCUSDT_price_spread_20260513_123000,BTCUSDT,price_spread,condition_a,same,True,2026-05-13 12:30:00,2026-05-13 13:00:00,80160.1,80150.0,80105.3,80106.2,5.822e-05,-3.5e-05,0.0126013724267072,0.0011235211652589519,0.012465917831227741,price_profit,-0.6619940896032239,0.0,0,0.5
